5.7,2.6,3.5,1.0,Iris versicolor
5.5,2.4,3.8,1.1,Iris versicolor
5.5,2.4,3.7,1.0,Iris versicolor
5.8,2.7,3.9,1.2,Iris versicolor
6.0,2.7,5.1,1.6,Iris versicolor
5.4,3.0,4.5,1.5,Iris versicolor
6.0,3.4,4.5,1.6,Iris versicolor
6.7,3.1,4.7,1.5,Iris versicolor
6.3,2.3,4.4,1.3,Iris versicolor
5.6,3.0,4.1,1.3,Iris versicolor
5.5,2.5,4.0,1.3,Iris versicolor
5.5,2.6,4.4,1.2,Iris versicolor
6.1,3.0,4.6,1.4,Iris versicolor
5.8,2.6,4.0,1.2,Iris versicolor
5.0,2.3,3.3,1.0,Iris versicolor
5.6,2.7,4.2,1.3,Iris versicolor
5.7,3.0,4.2,1.2,Iris versicolor
5.7,2.9,4.2,1.3,Iris versicolor
6.2,2.9,4.3,1.3,Iris versicolor
5.1,2.5,3.0,1.1,Iris versicolor
5.7,2.8,4.1,1.3,Iris versicolor
6.3,3.3,6.0,2.5,Iris virginica
5.8,2.7,5.1,1.9,Iris virginica
7.1,3.0,5.9,2.1,Iris virginica
6.3,2.9,5.6,1.8,Iris virginica
6.5,3.0,5.8,2.2,Iris virginica
7.6,3.0,6.6,2.1,Iris virginica
4.9,2.5,4.5,1.7,Iris virginica
7.3,2.9,6.3,1.8,Iris virginica
6.7,2.5,5.8,1.8,Iris virginica
7.2,3.6,6.1,2.5,Iris virginica
6.5,3.2,5.1,2.0,Iris virginica
6.4,2.7,5.3,1.9,Iris virginica
6.8,3.0,5.5,2.1,Iris virginica
5.7,2.5,5.0,2.0,Iris virginica
5.8,2.8,5.1,2.4,Iris virginica
6.4,3.2,5.3,2.3,Iris virginica
6.5,3.0,5.5,1.8,Iris virginica
7.7,3.8,6.7,2.2,Iris virginica
7.7,2.6,6.9,2.3,Iris virginica
